Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),test_set
Light Gradient Boosting Machine,1.6201,4.5704,2.1033,0.2907,0.5439,0.4216,0.321,"(9, 13, 15)"
Random Forest Regressor,1.6541,4.5827,2.1222,0.2944,0.5539,0.4422,0.43,"(9, 13, 15)"
Gradient Boosting Regressor,1.6588,4.7704,2.1681,0.2619,0.5577,0.4383,0.379,"(9, 13, 15)"
Linear Regression,1.7132,4.7358,2.1603,0.2561,0.5601,0.4994,0.319,"(9, 13, 15)"
AdaBoost Regressor,1.8082,5.3231,2.294,0.1677,0.582,0.4823,0.347,"(9, 13, 15)"
Ridge Regression,1.8613,5.4478,2.318,0.1563,0.5976,0.5369,0.318,"(9, 13, 15)"
Bayesian Ridge,1.9352,5.872,2.4103,0.0905,0.6113,0.5626,0.315,"(9, 13, 15)"
Huber Regressor,1.9678,6.2729,2.4819,0.0329,0.6294,0.5846,0.313,"(9, 13, 15)"
Orthogonal Matching Pursuit,1.9964,6.1652,2.4658,0.0463,0.6246,0.5921,0.314,"(9, 13, 15)"
Elastic Net,2.0917,6.5718,2.5481,-0.0097,0.637,0.6153,0.318,"(9, 13, 15)"
Lasso Regression,2.0946,6.5703,2.5488,-0.0096,0.6376,0.6151,0.32,"(9, 13, 15)"
Lasso Least Angle Regression,2.0946,6.5703,2.5488,-0.0096,0.6376,0.6151,0.319,"(9, 13, 15)"
Dummy Regressor,2.1748,6.8633,2.611,-0.058,0.6524,0.6499,0.321,"(9, 13, 15)"
Decision Tree Regressor,2.2224,8.9564,2.9658,-0.4141,0.7375,0.5941,0.313,"(9, 13, 15)"
K Neighbors Regressor,2.2534,7.3786,2.7068,-0.1605,0.6681,0.655,0.315,"(9, 13, 15)"
Passive Aggressive Regressor,4.056,29.5008,4.7086,-3.6725,0.8368,1.2343,0.313,"(9, 13, 15)"
Least Angle Regression,11849233.2564,2584354264378459.0,16109735.1708,-465603942335050.9,5.9343,2481278.8839,0.319,"(9, 13, 15)"
Extra Trees Regressor,1.5336,4.0608,1.9988,0.3493,0.5225,0.4333,0.372,"(9, 13, 16)"
Gradient Boosting Regressor,1.575,4.2412,2.0459,0.3177,0.5463,0.4474,0.386,"(9, 13, 16)"
Light Gradient Boosting Machine,1.6193,4.5572,2.1236,0.2583,0.5537,0.4593,0.342,"(9, 13, 16)"
Random Forest Regressor,1.6455,4.4467,2.0938,0.2809,0.5509,0.4727,0.451,"(9, 13, 16)"
Linear Regression,1.6875,4.5463,2.1223,0.2633,0.5684,0.5118,0.313,"(9, 13, 16)"
AdaBoost Regressor,1.8085,5.1441,2.251,0.1711,0.5805,0.5242,0.352,"(9, 13, 16)"
Ridge Regression,1.849,5.3645,2.3045,0.1341,0.6049,0.5575,0.318,"(9, 13, 16)"
Bayesian Ridge,1.9618,5.8188,2.4032,0.058,0.6265,0.5929,0.318,"(9, 13, 16)"
Huber Regressor,1.9859,6.2372,2.4809,-0.0058,0.6434,0.6,0.318,"(9, 13, 16)"
Orthogonal Matching Pursuit,2.0171,5.8898,2.413,0.0498,0.6252,0.6176,0.338,"(9, 13, 16)"
Elastic Net,2.0871,6.2066,2.485,-0.0044,0.6365,0.6428,0.317,"(9, 13, 16)"
Lasso Regression,2.0872,6.2227,2.4884,-0.007,0.638,0.6432,0.317,"(9, 13, 16)"
Lasso Least Angle Regression,2.0872,6.2227,2.4884,-0.007,0.638,0.6432,0.336,"(9, 13, 16)"
Dummy Regressor,2.0909,6.374,2.5202,-0.0339,0.6459,0.6416,0.343,"(9, 13, 16)"
Decision Tree Regressor,2.2041,9.6064,3.0786,-0.5634,0.7709,0.6572,0.321,"(9, 13, 16)"
K Neighbors Regressor,2.2383,7.3736,2.7066,-0.1974,0.6706,0.6648,0.317,"(9, 13, 16)"
Passive Aggressive Regressor,2.997,14.3563,3.7385,-1.378,0.8165,1.0139,0.318,"(9, 13, 16)"
Least Angle Regression,110934.7554,89269434685.9823,145715.4719,-15219285391.6357,5.0965,36863.5174,0.326,"(9, 13, 16)"
Extra Trees Regressor,1.698,4.8503,2.1735,0.2709,0.5595,0.4614,0.374,"(9, 13, 17)"
Light Gradient Boosting Machine,1.7779,4.9461,2.2036,0.2469,0.5617,0.5016,0.34,"(9, 13, 17)"
Random Forest Regressor,1.8186,5.2615,2.2723,0.204,0.5877,0.5154,0.453,"(9, 13, 17)"
Linear Regression,1.8409,5.5892,2.329,0.1641,0.5724,0.5206,0.331,"(9, 13, 17)"
Gradient Boosting Regressor,1.8632,5.5297,2.3201,0.1669,0.5801,0.5286,0.381,"(9, 13, 17)"
Ridge Regression,2.0215,6.1718,2.4677,0.057,0.6254,0.5778,0.34,"(9, 13, 17)"
AdaBoost Regressor,2.0318,6.1474,2.4546,0.0805,0.621,0.5867,0.358,"(9, 13, 17)"
Huber Regressor,2.0936,6.6876,2.571,-0.0195,0.6512,0.6007,0.327,"(9, 13, 17)"
Orthogonal Matching Pursuit,2.0954,6.4797,2.5321,0.0144,0.6487,0.6099,0.32,"(9, 13, 17)"
Bayesian Ridge,2.1575,6.8278,2.5966,-0.0287,0.6609,0.627,0.322,"(9, 13, 17)"
Elastic Net,2.1681,6.7839,2.5883,-0.0218,0.6593,0.6309,0.321,"(9, 13, 17)"
Lasso Regression,2.1692,6.8079,2.5922,-0.0243,0.6605,0.6314,0.322,"(9, 13, 17)"
Lasso Least Angle Regression,2.1692,6.8079,2.5922,-0.0243,0.6605,0.6314,0.324,"(9, 13, 17)"
Dummy Regressor,2.1774,6.9983,2.627,-0.0526,0.6689,0.6349,0.32,"(9, 13, 17)"
K Neighbors Regressor,2.3298,7.8247,2.7895,-0.2142,0.69,0.6745,0.326,"(9, 13, 17)"
Decision Tree Regressor,2.3668,9.6952,3.0889,-0.4705,0.7399,0.7123,0.327,"(9, 13, 17)"
Passive Aggressive Regressor,3.9266,26.4174,4.7275,-3.6063,0.8878,1.3109,0.33,"(9, 13, 17)"
Least Angle Regression,617715.4219,2952929517409.819,773331.427,-527482578444.0711,7.7167,165354.3073,0.33,"(9, 13, 17)"
Extra Trees Regressor,1.5854,4.1323,2.0138,0.3375,0.5212,0.3893,0.369,"(9, 15, 16)"
Linear Regression,1.6078,4.314,2.0392,0.3097,0.5169,0.3997,0.336,"(9, 15, 16)"
Gradient Boosting Regressor,1.6674,4.5829,2.1205,0.2619,0.5267,0.4298,0.387,"(9, 15, 16)"
Random Forest Regressor,1.6712,4.6078,2.132,0.2604,0.5467,0.4236,0.426,"(9, 15, 16)"
Light Gradient Boosting Machine,1.6804,4.8014,2.1818,0.2237,0.5522,0.4296,0.331,"(9, 15, 16)"
Ridge Regression,1.7255,4.8739,2.1948,0.2133,0.5594,0.4426,0.327,"(9, 15, 16)"
AdaBoost Regressor,1.7828,5.0896,2.2485,0.1822,0.5674,0.4617,0.359,"(9, 15, 16)"
Bayesian Ridge,1.8224,5.344,2.3031,0.1359,0.5818,0.4759,0.327,"(9, 15, 16)"
Huber Regressor,1.9068,5.7983,2.3912,0.064,0.6025,0.5162,0.327,"(9, 15, 16)"
Orthogonal Matching Pursuit,1.9135,5.8422,2.4131,0.0541,0.6067,0.52,0.319,"(9, 15, 16)"
Lasso Regression,1.9707,6.1218,2.4699,0.0096,0.6113,0.5352,0.322,"(9, 15, 16)"
Lasso Least Angle Regression,1.9707,6.1218,2.4699,0.0097,0.6113,0.5352,0.329,"(9, 15, 16)"
Elastic Net,1.9725,6.1033,2.4659,0.013,0.6104,0.5363,0.327,"(9, 15, 16)"
Dummy Regressor,2.0485,6.5546,2.5589,-0.0588,0.6231,0.5721,0.321,"(9, 15, 16)"
Decision Tree Regressor,2.2091,8.6029,2.9105,-0.3731,0.7464,0.5648,0.329,"(9, 15, 16)"
K Neighbors Regressor,2.2544,7.6039,2.7522,-0.2296,0.6547,0.6115,0.326,"(9, 15, 16)"
Passive Aggressive Regressor,3.8747,23.9229,4.7211,-3.0816,0.9125,1.0256,0.322,"(9, 15, 16)"
Least Angle Regression,22327394.5081,1.0564192609108586e+16,45532910.7403,-2102933071175963.5,9.7144,6848988.091,0.325,"(9, 15, 16)"
Extra Trees Regressor,1.7148,4.7964,2.1843,0.257,0.5541,0.4439,0.379,"(9, 15, 17)"
Light Gradient Boosting Machine,1.7502,5.0282,2.2344,0.2178,0.5601,0.4411,0.338,"(9, 15, 17)"
Random Forest Regressor,1.8489,5.5805,2.3572,0.1329,0.5837,0.4816,0.437,"(9, 15, 17)"
Linear Regression,1.8791,5.5818,2.3416,0.1254,0.5517,0.4997,0.341,"(9, 15, 17)"
Gradient Boosting Regressor,1.9124,6.0322,2.4549,0.0482,0.5994,0.5034,0.398,"(9, 15, 17)"
Ridge Regression,1.9239,6.0791,2.4566,0.0582,0.6006,0.5227,0.33,"(9, 15, 17)"
AdaBoost Regressor,1.974,6.1487,2.4707,0.0518,0.6028,0.5066,0.363,"(9, 15, 17)"
Huber Regressor,2.0622,6.8177,2.6029,-0.0539,0.6296,0.5704,0.328,"(9, 15, 17)"
Elastic Net,2.1099,6.8842,2.6147,-0.0576,0.6363,0.5803,0.324,"(9, 15, 17)"
Lasso Regression,2.1099,6.8564,2.6092,-0.0526,0.6357,0.5806,0.329,"(9, 15, 17)"
Lasso Least Angle Regression,2.1099,6.8564,2.6092,-0.0526,0.6357,0.5806,0.331,"(9, 15, 17)"
Dummy Regressor,2.1197,6.8129,2.6,-0.0437,0.6347,0.5872,0.334,"(9, 15, 17)"
Bayesian Ridge,2.1307,6.9593,2.6289,-0.068,0.6395,0.5874,0.328,"(9, 15, 17)"
Orthogonal Matching Pursuit,2.1347,7.1759,2.6718,-0.1104,0.6402,0.5908,0.329,"(9, 15, 17)"
K Neighbors Regressor,2.2886,8.0461,2.831,-0.2552,0.6716,0.6125,0.331,"(9, 15, 17)"
Decision Tree Regressor,2.4851,10.7706,3.2736,-0.6912,0.7969,0.6654,0.329,"(9, 15, 17)"
Passive Aggressive Regressor,3.147,16.3881,3.9637,-1.6832,0.7876,0.9593,0.337,"(9, 15, 17)"
Least Angle Regression,7806615.558,1258566873021303.5,12635377.5622,-166188848832510.3,7.2821,1451659.1289,0.322,"(9, 15, 17)"
Extra Trees Regressor,1.6792,4.4912,2.1095,0.3024,0.5406,0.4469,0.376,"(9, 16, 17)"
Light Gradient Boosting Machine,1.7477,4.8007,2.1733,0.26,0.5527,0.4499,0.358,"(9, 16, 17)"
Gradient Boosting Regressor,1.7555,5.0245,2.2247,0.2296,0.5606,0.4657,0.393,"(9, 16, 17)"
Random Forest Regressor,1.7935,5.0156,2.2281,0.2267,0.572,0.4798,0.448,"(9, 16, 17)"
Linear Regression,1.8722,5.5693,2.3522,0.1326,0.5729,0.5257,0.341,"(9, 16, 17)"
AdaBoost Regressor,1.9251,5.4773,2.3296,0.1534,0.5922,0.5204,0.366,"(9, 16, 17)"
Ridge Regression,1.9556,5.8668,2.4121,0.0885,0.5991,0.5423,0.33,"(9, 16, 17)"
Huber Regressor,2.0261,6.2505,2.4903,0.0302,0.6207,0.5593,0.333,"(9, 16, 17)"
Bayesian Ridge,2.0644,6.3283,2.5078,0.025,0.6266,0.5751,0.332,"(9, 16, 17)"
Orthogonal Matching Pursuit,2.0916,6.4471,2.5286,0.0035,0.6304,0.5762,0.335,"(9, 16, 17)"
Lasso Regression,2.126,6.5408,2.5495,-0.0063,0.64,0.6077,0.331,"(9, 16, 17)"
Lasso Least Angle Regression,2.126,6.5408,2.5495,-0.0063,0.64,0.6077,0.328,"(9, 16, 17)"
Elastic Net,2.1266,6.523,2.5461,-0.0046,0.6386,0.6068,0.334,"(9, 16, 17)"
Dummy Regressor,2.1281,6.7204,2.5826,-0.0278,0.6495,0.6131,0.331,"(9, 16, 17)"
K Neighbors Regressor,2.2488,7.3687,2.6944,-0.117,0.6627,0.6378,0.328,"(9, 16, 17)"
Decision Tree Regressor,2.4018,9.8713,3.1241,-0.5755,0.7466,0.7169,0.33,"(9, 16, 17)"
Passive Aggressive Regressor,2.4511,9.1818,2.9925,-0.3875,0.6858,0.6571,0.323,"(9, 16, 17)"
Least Angle Regression,5.23402414211903e+130,4.199204796881086e+262,6.480127156839661e+130,-5.3247950905956e+261,38.486,1.8422430255628187e+130,0.332,"(9, 16, 17)"
Extra Trees Regressor,1.7569,4.9664,2.2082,0.2641,0.5544,0.4657,0.392,"(12, 13, 15)"
Light Gradient Boosting Machine,1.8073,5.3147,2.2855,0.212,0.5511,0.4811,0.34,"(12, 13, 15)"
Random Forest Regressor,1.8321,5.3688,2.2916,0.2061,0.5695,0.4973,0.44,"(12, 13, 15)"
Gradient Boosting Regressor,1.8629,5.5397,2.3243,0.1823,0.5678,0.5072,0.391,"(12, 13, 15)"
Linear Regression,1.9536,6.0373,2.4485,0.0595,0.5895,0.5437,0.327,"(12, 13, 15)"
Huber Regressor,1.9846,6.3067,2.4875,0.0528,0.601,0.5666,0.333,"(12, 13, 15)"
Ridge Regression,1.986,6.1494,2.4654,0.0769,0.5985,0.554,0.333,"(12, 13, 15)"
AdaBoost Regressor,1.9998,6.1619,2.4605,0.0925,0.5962,0.562,0.365,"(12, 13, 15)"
Orthogonal Matching Pursuit,2.0663,6.4637,2.526,0.0352,0.6121,0.5954,0.33,"(12, 13, 15)"
Bayesian Ridge,2.0915,6.5025,2.537,0.0292,0.6114,0.6081,0.332,"(12, 13, 15)"
Elastic Net,2.1029,6.5136,2.5382,0.0318,0.6111,0.6092,0.336,"(12, 13, 15)"
Lasso Regression,2.1144,6.5387,2.543,0.0286,0.6128,0.6141,0.338,"(12, 13, 15)"
Lasso Least Angle Regression,2.1144,6.5386,2.543,0.0286,0.6128,0.6141,0.338,"(12, 13, 15)"
Dummy Regressor,2.2447,7.2043,2.6713,-0.0716,0.6365,0.6697,0.344,"(12, 13, 15)"
K Neighbors Regressor,2.362,8.3737,2.8729,-0.2453,0.6659,0.684,0.334,"(12, 13, 15)"
Decision Tree Regressor,2.4854,10.9217,3.2816,-0.6733,0.8485,0.6308,0.33,"(12, 13, 15)"
Passive Aggressive Regressor,4.0335,24.4263,4.7284,-2.7262,1.1576,1.0261,0.34,"(12, 13, 15)"
Least Angle Regression,2748147.1819,118373590020466.53,3628051.9864,-15969913770497.623,7.524,708497.2977,0.337,"(12, 13, 15)"
Extra Trees Regressor,1.743,4.7295,2.1658,0.308,0.5678,0.5086,0.392,"(12, 13, 16)"
Light Gradient Boosting Machine,1.762,4.9768,2.2237,0.2737,0.5729,0.5316,0.347,"(12, 13, 16)"
Random Forest Regressor,1.8522,5.1553,2.2636,0.2367,0.5951,0.5431,0.448,"(12, 13, 16)"
Gradient Boosting Regressor,1.868,5.3039,2.2969,0.2181,0.5946,0.5511,0.406,"(12, 13, 16)"
Linear Regression,1.9452,5.7623,2.3834,0.1565,0.6117,0.602,0.342,"(12, 13, 16)"
AdaBoost Regressor,1.9558,5.6459,2.3681,0.1746,0.6189,0.6008,0.375,"(12, 13, 16)"
Ridge Regression,1.985,5.8951,2.4139,0.1372,0.6257,0.6062,0.337,"(12, 13, 16)"
Huber Regressor,2.0397,6.1708,2.4644,0.1001,0.632,0.6348,0.34,"(12, 13, 16)"
Bayesian Ridge,2.0473,6.0831,2.4487,0.1172,0.6377,0.642,0.331,"(12, 13, 16)"
Orthogonal Matching Pursuit,2.0959,6.2101,2.4787,0.098,0.6499,0.6551,0.335,"(12, 13, 16)"
Elastic Net,2.1818,6.6045,2.5551,0.0497,0.6612,0.6887,0.347,"(12, 13, 16)"
Lasso Least Angle Regression,2.1897,6.6272,2.56,0.0469,0.6625,0.6911,0.329,"(12, 13, 16)"
Lasso Regression,2.1898,6.6272,2.56,0.0469,0.6625,0.6911,0.34,"(12, 13, 16)"
Dummy Regressor,2.2836,7.2881,2.6896,-0.0488,0.6823,0.7341,0.333,"(12, 13, 16)"
K Neighbors Regressor,2.3249,7.7499,2.7706,-0.1271,0.6933,0.7017,0.331,"(12, 13, 16)"
Decision Tree Regressor,2.3569,10.0532,3.1465,-0.5292,0.7997,0.708,0.337,"(12, 13, 16)"
Passive Aggressive Regressor,4.4234,32.8209,5.2667,-4.6982,0.9931,1.3818,0.355,"(12, 13, 16)"
Least Angle Regression,110645.2733,132188022400.7849,132539.1082,-18973689652.824,5.8451,39356.8446,0.337,"(12, 13, 16)"
Extra Trees Regressor,1.8991,5.5219,2.3363,0.2103,0.5889,0.5253,0.401,"(12, 13, 17)"
Gradient Boosting Regressor,1.9572,6.0496,2.4449,0.1308,0.6024,0.5575,0.401,"(12, 13, 17)"
Light Gradient Boosting Machine,1.967,6.0591,2.4518,0.1273,0.6074,0.5445,0.354,"(12, 13, 17)"
Random Forest Regressor,2.0144,5.9599,2.4321,0.1464,0.6092,0.5635,0.459,"(12, 13, 17)"
AdaBoost Regressor,2.102,6.4215,2.5232,0.0791,0.6158,0.5736,0.368,"(12, 13, 17)"
Linear Regression,2.1152,6.9932,2.611,0.0014,0.6282,0.601,0.348,"(12, 13, 17)"
Huber Regressor,2.1655,6.8782,2.6105,0.0182,0.6402,0.6077,0.336,"(12, 13, 17)"
Ridge Regression,2.1714,6.8495,2.599,0.0256,0.6382,0.6034,0.342,"(12, 13, 17)"
Orthogonal Matching Pursuit,2.2173,7.0608,2.6491,-0.0119,0.6528,0.6272,0.32,"(12, 13, 17)"
Bayesian Ridge,2.2443,7.1412,2.6623,-0.0218,0.6515,0.6434,0.338,"(12, 13, 17)"
Elastic Net,2.2606,7.1899,2.6717,-0.0296,0.6551,0.6517,0.339,"(12, 13, 17)"
Lasso Regression,2.2652,7.2015,2.6748,-0.0321,0.6563,0.6559,0.333,"(12, 13, 17)"
Lasso Least Angle Regression,2.2652,7.2015,2.6748,-0.0321,0.6563,0.6559,0.342,"(12, 13, 17)"
Dummy Regressor,2.3115,7.4427,2.7212,-0.0663,0.6651,0.6743,0.34,"(12, 13, 17)"
K Neighbors Regressor,2.3739,8.0541,2.8313,-0.1586,0.6861,0.663,0.323,"(12, 13, 17)"
Decision Tree Regressor,2.5774,11.3736,3.3397,-0.6319,0.8415,0.6822,0.341,"(12, 13, 17)"
Passive Aggressive Regressor,2.9624,13.5348,3.5848,-0.9817,0.7814,0.7461,0.345,"(12, 13, 17)"
Least Angle Regression,1106424.2314,15025631860918.217,1681333.1693,-2229771778922.811,5.7262,341404.0329,0.339,"(12, 13, 17)"
Extra Trees Regressor,1.766,5.039,2.2231,0.2694,0.5605,0.4251,0.391,"(12, 15, 16)"
Light Gradient Boosting Machine,1.8283,5.1843,2.2671,0.2397,0.5612,0.4474,0.355,"(12, 15, 16)"
Gradient Boosting Regressor,1.8355,5.381,2.3071,0.2109,0.5641,0.4597,0.406,"(12, 15, 16)"
Random Forest Regressor,1.9041,5.6177,2.3556,0.183,0.5852,0.4678,0.454,"(12, 15, 16)"
Linear Regression,1.9381,6.0302,2.4367,0.1212,0.587,0.4998,0.35,"(12, 15, 16)"
Ridge Regression,1.9979,6.3078,2.4903,0.0881,0.6103,0.4978,0.341,"(12, 15, 16)"
AdaBoost Regressor,2.0234,6.1048,2.4612,0.1079,0.5966,0.5017,0.364,"(12, 15, 16)"
Huber Regressor,2.1065,6.8579,2.6042,-0.0016,0.6342,0.5376,0.344,"(12, 15, 16)"
Orthogonal Matching Pursuit,2.1331,6.8219,2.5984,0.0064,0.6353,0.5467,0.337,"(12, 15, 16)"
Bayesian Ridge,2.1825,7.017,2.643,-0.0276,0.6451,0.5718,0.343,"(12, 15, 16)"
Lasso Regression,2.2144,7.0705,2.6541,-0.0348,0.6462,0.5933,0.34,"(12, 15, 16)"
Lasso Least Angle Regression,2.2144,7.0705,2.6541,-0.0348,0.6462,0.5933,0.343,"(12, 15, 16)"
Elastic Net,2.2155,7.0959,2.6586,-0.0385,0.6471,0.5912,0.341,"(12, 15, 16)"
Dummy Regressor,2.2722,7.3066,2.6988,-0.0716,0.6521,0.6225,0.338,"(12, 15, 16)"
K Neighbors Regressor,2.5014,8.9734,2.9831,-0.308,0.6968,0.6668,0.341,"(12, 15, 16)"
Decision Tree Regressor,2.6526,11.9113,3.4346,-0.7444,0.8324,0.6418,0.336,"(12, 15, 16)"
Passive Aggressive Regressor,3.8936,24.4696,4.6648,-2.7465,0.8447,1.1351,0.337,"(12, 15, 16)"
Least Angle Regression,63774769869.9272,5.712457144835429e+22,75583813248.2793,-8.634393345073954e+21,9.9924,23965320804.4047,0.339,"(12, 15, 16)"
Light Gradient Boosting Machine,1.8688,5.7431,2.3646,0.245,0.5818,0.4733,0.35,"(12, 15, 17)"
Extra Trees Regressor,1.9072,5.7661,2.379,0.2448,0.5951,0.4875,0.393,"(12, 15, 17)"
Random Forest Regressor,2.048,6.3815,2.5021,0.1611,0.6149,0.5282,0.449,"(12, 15, 17)"
Gradient Boosting Regressor,2.0768,6.7887,2.5761,0.1071,0.6142,0.5333,0.407,"(12, 15, 17)"
Linear Regression,2.1564,7.4636,2.7037,-0.0102,0.607,0.5618,0.355,"(12, 15, 17)"
Huber Regressor,2.1822,7.5492,2.724,-0.0061,0.6435,0.5723,0.344,"(12, 15, 17)"
Ridge Regression,2.1917,7.3816,2.6879,0.0236,0.6383,0.5767,0.347,"(12, 15, 17)"
AdaBoost Regressor,2.2152,7.3397,2.6859,0.0358,0.6419,0.5847,0.37,"(12, 15, 17)"
Orthogonal Matching Pursuit,2.2814,7.6942,2.7543,-0.0196,0.6517,0.6141,0.342,"(12, 15, 17)"
Elastic Net,2.2934,7.6188,2.7406,-0.0018,0.6578,0.6252,0.343,"(12, 15, 17)"
Bayesian Ridge,2.3158,7.8213,2.7766,-0.0313,0.6621,0.6342,0.343,"(12, 15, 17)"
Lasso Regression,2.319,7.6884,2.7535,-0.0112,0.6606,0.6365,0.341,"(12, 15, 17)"
Lasso Least Angle Regression,2.319,7.6884,2.7535,-0.0112,0.6606,0.6365,0.34,"(12, 15, 17)"
Dummy Regressor,2.3599,7.8824,2.7912,-0.0399,0.6674,0.6618,0.345,"(12, 15, 17)"
K Neighbors Regressor,2.4209,8.6051,2.9179,-0.1541,0.689,0.6361,0.356,"(12, 15, 17)"
Decision Tree Regressor,2.7295,13.6144,3.6693,-0.8389,0.858,0.7167,0.339,"(12, 15, 17)"
Passive Aggressive Regressor,2.8197,11.8367,3.4356,-0.6101,0.7313,0.7957,0.339,"(12, 15, 17)"
Least Angle Regression,364072.1976,1112251751975.894,511498.3707,-143034960842.8256,7.6194,98584.406,0.348,"(12, 15, 17)"
Extra Trees Regressor,1.7939,4.8758,2.1829,0.3601,0.5538,0.4965,0.411,"(12, 16, 17)"
Gradient Boosting Regressor,1.8796,5.4624,2.3103,0.2797,0.5752,0.5328,0.417,"(12, 16, 17)"
Light Gradient Boosting Machine,1.9245,5.6802,2.3627,0.2482,0.5744,0.5475,0.364,"(12, 16, 17)"
Random Forest Regressor,1.936,5.3934,2.2997,0.2931,0.5789,0.552,0.469,"(12, 16, 17)"
Linear Regression,1.9588,5.9424,2.4122,0.2152,0.5846,0.5685,0.352,"(12, 16, 17)"
AdaBoost Regressor,2.1375,6.2989,2.4946,0.1711,0.6178,0.6094,0.393,"(12, 16, 17)"
Ridge Regression,2.1466,6.513,2.536,0.1409,0.6233,0.6162,0.341,"(12, 16, 17)"
Huber Regressor,2.1899,6.8802,2.5975,0.0979,0.6373,0.6294,0.348,"(12, 16, 17)"
Bayesian Ridge,2.2048,6.6857,2.5638,0.1229,0.6355,0.6421,0.345,"(12, 16, 17)"
Decision Tree Regressor,2.2088,8.7429,2.918,-0.1777,0.7342,0.5883,0.356,"(12, 16, 17)"
Orthogonal Matching Pursuit,2.2394,6.945,2.606,0.0914,0.6395,0.6556,0.346,"(12, 16, 17)"
Elastic Net,2.2745,6.9758,2.6284,0.0788,0.6529,0.6659,0.346,"(12, 16, 17)"
Lasso Regression,2.2769,6.9827,2.6311,0.0778,0.6539,0.6681,0.346,"(12, 16, 17)"
Lasso Least Angle Regression,2.2769,6.9827,2.6311,0.0778,0.6539,0.6681,0.355,"(12, 16, 17)"
Dummy Regressor,2.3493,7.6641,2.7633,-0.0121,0.6781,0.7038,0.351,"(12, 16, 17)"
K Neighbors Regressor,2.3828,8.2726,2.8601,-0.0849,0.6787,0.6787,0.349,"(12, 16, 17)"
Passive Aggressive Regressor,3.8847,22.55,4.6566,-2.0931,1.0822,1.0317,0.348,"(12, 16, 17)"
Least Angle Regression,1.2132503750868684e+280,inf,inf,-inf,70.2045,3.139957585989115e+279,0.344,"(12, 16, 17)"
Extra Trees Regressor,1.5208,4.0626,1.9959,0.3562,0.5122,0.4195,0.398,"(13, 15, 16)"
Gradient Boosting Regressor,1.5877,4.2869,2.0568,0.3182,0.5281,0.4404,0.418,"(13, 15, 16)"
Light Gradient Boosting Machine,1.6063,4.4033,2.0764,0.2987,0.5239,0.4385,0.372,"(13, 15, 16)"
Random Forest Regressor,1.6344,4.4447,2.0926,0.2938,0.534,0.4549,0.45,"(13, 15, 16)"
AdaBoost Regressor,1.7214,4.6631,2.1424,0.2565,0.5424,0.4698,0.382,"(13, 15, 16)"
Ridge Regression,1.7866,5.1085,2.2529,0.1858,0.5699,0.5012,0.349,"(13, 15, 16)"
Linear Regression,1.8228,5.4603,2.3244,0.1287,0.591,0.4993,0.359,"(13, 15, 16)"
Huber Regressor,1.8954,5.6029,2.353,0.1036,0.5863,0.5559,0.355,"(13, 15, 16)"
Orthogonal Matching Pursuit,1.9103,5.4957,2.3319,0.1257,0.5873,0.5648,0.375,"(13, 15, 16)"
Bayesian Ridge,1.943,5.6875,2.3763,0.0937,0.5927,0.5686,0.349,"(13, 15, 16)"
Elastic Net,1.9795,5.8383,2.4051,0.071,0.5975,0.5829,0.348,"(13, 15, 16)"
Lasso Regression,1.9845,5.8641,2.4109,0.0668,0.5988,0.5841,0.348,"(13, 15, 16)"
Lasso Least Angle Regression,1.9845,5.8641,2.4109,0.0668,0.5988,0.5841,0.352,"(13, 15, 16)"
Dummy Regressor,2.11,6.4526,2.5368,-0.03,0.619,0.6413,0.353,"(13, 15, 16)"
K Neighbors Regressor,2.1431,6.8025,2.5914,-0.0792,0.6208,0.628,0.354,"(13, 15, 16)"
Decision Tree Regressor,2.159,8.5182,2.9018,-0.3544,0.728,0.5657,0.348,"(13, 15, 16)"
Passive Aggressive Regressor,3.1465,16.1048,3.7822,-1.6458,0.7552,0.9415,0.354,"(13, 15, 16)"
Least Angle Regression,652854.2963,6990262869397.776,841422.2561,-1077266314685.5771,5.2621,181662.656,0.337,"(13, 15, 16)"
Extra Trees Regressor,1.7599,5.009,2.2225,0.2457,0.575,0.4455,0.418,"(13, 15, 17)"
Random Forest Regressor,1.8771,5.4309,2.3195,0.1902,0.5969,0.5069,0.466,"(13, 15, 17)"
Light Gradient Boosting Machine,1.8925,5.7876,2.3799,0.1358,0.5968,0.4681,0.367,"(13, 15, 17)"
Gradient Boosting Regressor,1.8986,5.6767,2.3659,0.1493,0.5995,0.5001,0.42,"(13, 15, 17)"
Linear Regression,2.0096,6.416,2.5129,0.0379,0.6147,0.5394,0.361,"(13, 15, 17)"
AdaBoost Regressor,2.0528,6.6936,2.5777,0.009,0.6354,0.536,0.404,"(13, 15, 17)"
Ridge Regression,2.0538,6.5571,2.5475,0.029,0.6321,0.5515,0.352,"(13, 15, 17)"
Huber Regressor,2.0547,6.8759,2.5968,-0.0109,0.644,0.5651,0.38,"(13, 15, 17)"
Orthogonal Matching Pursuit,2.102,6.8663,2.6061,-0.0133,0.6441,0.5745,0.352,"(13, 15, 17)"
Lasso Least Angle Regression,2.144,6.9505,2.6224,-0.0192,0.6463,0.5911,0.358,"(13, 15, 17)"
Lasso Regression,2.144,6.9505,2.6224,-0.0192,0.6463,0.5911,0.346,"(13, 15, 17)"
