Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects,Sensor,Combinations
Light Gradient Boosting Machine,1.4412,3.5828,1.8883,0.4099,0.5681,0.5033,0.249,"(5, 13, 17)",upperarm,3
Random Forest Regressor,1.4417,3.5692,1.8854,0.4111,0.5768,0.4823,0.373,"(5, 13, 17)",upperarm,3
Gradient Boosting Regressor,1.6104,4.3115,2.0735,0.2875,0.6222,0.5387,0.31,"(5, 13, 17)",upperarm,3
Decision Tree Regressor,1.8268,7.1634,2.6657,-0.1884,0.772,0.6543,0.225,"(5, 13, 17)",upperarm,3
Linear Regression,1.9067,5.4877,2.3402,0.0947,0.6913,0.6751,0.231,"(5, 13, 17)",upperarm,3
Bayesian Ridge,1.9319,5.6288,2.3701,0.0713,0.6988,0.686,0.198,"(5, 13, 17)",upperarm,3
Huber Regressor,1.9495,5.9191,2.4304,0.0235,0.6958,0.6491,0.227,"(5, 13, 17)",upperarm,3
AdaBoost Regressor,1.9696,5.4002,2.3219,0.1064,0.7241,0.7767,0.22,"(5, 13, 17)",upperarm,3
Ridge Regression,1.9709,5.7219,2.3904,0.055,0.7093,0.7057,0.232,"(5, 13, 17)",upperarm,3
K Neighbors Regressor,2.0042,6.3633,2.5197,-0.0535,0.7315,0.7252,0.213,"(5, 13, 17)",upperarm,3
Orthogonal Matching Pursuit,2.0238,5.9747,2.4426,0.0135,0.7245,0.7329,0.218,"(5, 13, 17)",upperarm,3
Lasso Regression,2.0517,6.1015,2.4682,-0.007,0.7291,0.7565,0.231,"(5, 13, 17)",upperarm,3
Elastic Net,2.0517,6.1015,2.4682,-0.007,0.7291,0.7565,0.215,"(5, 13, 17)",upperarm,3
Lasso Least Angle Regression,2.0517,6.1015,2.4682,-0.007,0.7291,0.7565,0.221,"(5, 13, 17)",upperarm,3
Dummy Regressor,2.0517,6.1015,2.4682,-0.007,0.7291,0.7565,0.212,"(5, 13, 17)",upperarm,3
Passive Aggressive Regressor,3.2874,18.0884,4.0895,-1.934,0.9946,1.3173,0.201,"(5, 13, 17)",upperarm,3
Least Angle Regression,3.6577,28.6607,4.7011,-3.688,0.9403,1.5753,0.219,"(5, 13, 17)",upperarm,3
Extra Trees Regressor,1.2802,2.9795,1.7187,0.5029,0.5358,0.4155,0.28,"(5, 15, 16)",upperarm,3
Random Forest Regressor,1.3566,3.3132,1.8135,0.447,0.5586,0.4381,0.343,"(5, 15, 16)",upperarm,3
Light Gradient Boosting Machine,1.3709,3.3845,1.8311,0.4358,0.5586,0.4584,0.241,"(5, 15, 16)",upperarm,3
Gradient Boosting Regressor,1.4944,3.9041,1.9711,0.3445,0.5961,0.4825,0.297,"(5, 15, 16)",upperarm,3
Decision Tree Regressor,1.7145,6.3697,2.5126,-0.0681,0.7354,0.6398,0.224,"(5, 15, 16)",upperarm,3
AdaBoost Regressor,1.8609,5.05,2.2438,0.1505,0.7018,0.7262,0.206,"(5, 15, 16)",upperarm,3
Linear Regression,1.865,5.2922,2.2941,0.1138,0.6852,0.667,0.225,"(5, 15, 16)",upperarm,3
Bayesian Ridge,1.8905,5.4081,2.3195,0.0942,0.6915,0.6749,0.216,"(5, 15, 16)",upperarm,3
Huber Regressor,1.898,5.6495,2.37,0.054,0.6842,0.6372,0.215,"(5, 15, 16)",upperarm,3
Ridge Regression,1.9109,5.4817,2.336,0.0813,0.6962,0.6846,0.231,"(5, 15, 16)",upperarm,3
K Neighbors Regressor,1.9469,6.158,2.4762,-0.0336,0.7188,0.7019,0.211,"(5, 15, 16)",upperarm,3
Orthogonal Matching Pursuit,2.0179,5.9637,2.4374,0.0005,0.7217,0.7482,0.233,"(5, 15, 16)",upperarm,3
Lasso Regression,2.0195,5.9987,2.4445,-0.0051,0.7224,0.7515,0.227,"(5, 15, 16)",upperarm,3
Lasso Least Angle Regression,2.0195,5.9987,2.4445,-0.0051,0.7224,0.7515,0.219,"(5, 15, 16)",upperarm,3
Dummy Regressor,2.0195,5.9987,2.4445,-0.0051,0.7224,0.7515,0.22,"(5, 15, 16)",upperarm,3
Elastic Net,2.0207,5.9973,2.4441,-0.0048,0.7226,0.7523,0.213,"(5, 15, 16)",upperarm,3
Passive Aggressive Regressor,3.161,15.0598,3.7654,-1.6151,0.9375,1.3987,0.204,"(5, 15, 16)",upperarm,3
Least Angle Regression,3.2301,18.0968,4.1926,-2.0237,0.8994,1.3753,0.239,"(5, 15, 16)",upperarm,3
Extra Trees Regressor,1.3524,3.2509,1.7972,0.4874,0.5472,0.4248,0.261,"(5, 15, 17)",upperarm,3
Random Forest Regressor,1.4275,3.6354,1.9009,0.4266,0.5737,0.4468,0.359,"(5, 15, 17)",upperarm,3
Light Gradient Boosting Machine,1.4462,3.6977,1.9189,0.4155,0.5748,0.4731,0.246,"(5, 15, 17)",upperarm,3
Gradient Boosting Regressor,1.5815,4.2497,2.0552,0.3287,0.6139,0.5007,0.314,"(5, 15, 17)",upperarm,3
Decision Tree Regressor,1.7052,6.7039,2.5816,-0.0689,0.738,0.5649,0.22,"(5, 15, 17)",upperarm,3
Linear Regression,1.9361,5.696,2.3841,0.0965,0.6927,0.6614,0.228,"(5, 15, 17)",upperarm,3
AdaBoost Regressor,1.9711,5.5581,2.3549,0.118,0.7195,0.776,0.229,"(5, 15, 17)",upperarm,3
Bayesian Ridge,1.9757,5.8236,2.411,0.0763,0.7015,0.6844,0.224,"(5, 15, 17)",upperarm,3
Huber Regressor,1.9926,6.1932,2.4856,0.0175,0.6994,0.6499,0.218,"(5, 15, 17)",upperarm,3
Ridge Regression,2.0033,5.9132,2.4295,0.062,0.7083,0.7093,0.219,"(5, 15, 17)",upperarm,3
K Neighbors Regressor,2.03,6.4968,2.5454,-0.0297,0.7193,0.7332,0.199,"(5, 15, 17)",upperarm,3
Orthogonal Matching Pursuit,2.0761,6.2349,2.4951,0.0113,0.7241,0.7645,0.207,"(5, 15, 17)",upperarm,3
Lasso Regression,2.1074,6.3654,2.5211,-0.0093,0.7295,0.7821,0.207,"(5, 15, 17)",upperarm,3
Elastic Net,2.1074,6.3654,2.5211,-0.0093,0.7295,0.7821,0.228,"(5, 15, 17)",upperarm,3
Lasso Least Angle Regression,2.1074,6.3654,2.5211,-0.0093,0.7295,0.7821,0.222,"(5, 15, 17)",upperarm,3
Dummy Regressor,2.1074,6.3654,2.5211,-0.0093,0.7295,0.7821,0.224,"(5, 15, 17)",upperarm,3
Passive Aggressive Regressor,2.5789,11.2399,3.2885,-0.7937,0.8476,0.8716,0.212,"(5, 15, 17)",upperarm,3
Least Angle Regression,11.3783,510.2844,14.4327,-71.4104,1.3364,4.9838,0.215,"(5, 15, 17)",upperarm,3
Extra Trees Regressor,1.3627,3.2009,1.7858,0.4581,0.5474,0.4596,0.275,"(5, 16, 17)",upperarm,3
Light Gradient Boosting Machine,1.4253,3.5679,1.8855,0.3933,0.5702,0.4911,0.241,"(5, 16, 17)",upperarm,3
Random Forest Regressor,1.4324,3.5031,1.869,0.4072,0.5695,0.4774,0.373,"(5, 16, 17)",upperarm,3
Gradient Boosting Regressor,1.5739,4.0923,2.0203,0.3072,0.6111,0.526,0.301,"(5, 16, 17)",upperarm,3
Linear Regression,1.8233,5.0716,2.2465,0.1455,0.6679,0.652,0.212,"(5, 16, 17)",upperarm,3
Bayesian Ridge,1.837,5.1641,2.2675,0.1304,0.675,0.6488,0.23,"(5, 16, 17)",upperarm,3
Decision Tree Regressor,1.8712,7.2624,2.6931,-0.2334,0.7736,0.6703,0.215,"(5, 16, 17)",upperarm,3
Huber Regressor,1.9066,5.6272,2.3673,0.0532,0.686,0.643,0.242,"(5, 16, 17)",upperarm,3
Ridge Regression,1.9135,5.4138,2.3227,0.0884,0.694,0.6835,0.2,"(5, 16, 17)",upperarm,3
AdaBoost Regressor,1.953,5.2878,2.2974,0.1056,0.7226,0.782,0.219,"(5, 16, 17)",upperarm,3
K Neighbors Regressor,1.9998,6.3077,2.507,-0.0651,0.7237,0.7435,0.224,"(5, 16, 17)",upperarm,3
Dummy Regressor,2.0439,5.9978,2.4457,-0.0104,0.726,0.7606,0.217,"(5, 16, 17)",upperarm,3
Lasso Regression,2.044,5.9986,2.4458,-0.0106,0.726,0.7607,0.218,"(5, 16, 17)",upperarm,3
Lasso Least Angle Regression,2.044,5.9986,2.4458,-0.0106,0.726,0.7607,0.204,"(5, 16, 17)",upperarm,3
Elastic Net,2.0444,6.0009,2.4464,-0.011,0.726,0.7615,0.239,"(5, 16, 17)",upperarm,3
Orthogonal Matching Pursuit,2.0454,5.9982,2.4459,-0.0107,0.7254,0.7634,0.214,"(5, 16, 17)",upperarm,3
Passive Aggressive Regressor,2.4323,9.5784,3.0372,-0.6305,0.8167,0.9127,0.229,"(5, 16, 17)",upperarm,3
Least Angle Regression,4.8685,150.8831,6.5408,-25.6786,0.9409,2.2811,0.209,"(5, 16, 17)",upperarm,3
Extra Trees Regressor,1.3201,3.0292,1.7355,0.4377,0.5531,0.4443,0.254,"(6, 8, 9)",upperarm,3
Light Gradient Boosting Machine,1.3552,3.2903,1.8091,0.3887,0.5648,0.4659,0.241,"(6, 8, 9)",upperarm,3
Random Forest Regressor,1.3744,3.2471,1.7974,0.3976,0.5691,0.4593,0.383,"(6, 8, 9)",upperarm,3
Gradient Boosting Regressor,1.5109,3.7736,1.9399,0.3001,0.6043,0.5059,0.278,"(6, 8, 9)",upperarm,3
Decision Tree Regressor,1.7036,6.3523,2.512,-0.1777,0.759,0.6377,0.215,"(6, 8, 9)",upperarm,3
Linear Regression,1.7908,4.8883,2.2063,0.0967,0.6813,0.6297,0.212,"(6, 8, 9)",upperarm,3
Huber Regressor,1.8065,5.1525,2.2664,0.0462,0.6732,0.5991,0.212,"(6, 8, 9)",upperarm,3
Ridge Regression,1.8323,5.0213,2.2372,0.0711,0.6903,0.6444,0.219,"(6, 8, 9)",upperarm,3
Bayesian Ridge,1.8354,5.0366,2.2407,0.0681,0.6912,0.6461,0.221,"(6, 8, 9)",upperarm,3
K Neighbors Regressor,1.8589,5.4212,2.3258,-0.0053,0.706,0.674,0.21,"(6, 8, 9)",upperarm,3
AdaBoost Regressor,1.8655,4.9208,2.216,0.0882,0.7192,0.7194,0.209,"(6, 8, 9)",upperarm,3
Orthogonal Matching Pursuit,1.9116,5.3698,2.3149,0.0055,0.7138,0.6862,0.22,"(6, 8, 9)",upperarm,3
Elastic Net,1.9143,5.3726,2.3155,0.0049,0.7149,0.6861,0.211,"(6, 8, 9)",upperarm,3
Lasso Regression,1.9194,5.3806,2.3173,0.0033,0.7162,0.6871,0.212,"(6, 8, 9)",upperarm,3
Lasso Least Angle Regression,1.9194,5.3806,2.3173,0.0033,0.7162,0.6871,0.22,"(6, 8, 9)",upperarm,3
Dummy Regressor,1.9304,5.4084,2.3234,-0.002,0.719,0.6892,0.192,"(6, 8, 9)",upperarm,3
Passive Aggressive Regressor,3.2351,16.1824,3.748,-2.0975,0.8767,1.3827,0.2,"(6, 8, 9)",upperarm,3
Least Angle Regression,5.0514,60.5167,6.6272,-9.6686,1.0547,2.1609,0.204,"(6, 8, 9)",upperarm,3
Extra Trees Regressor,1.3951,3.3837,1.837,0.4377,0.5756,0.443,0.265,"(6, 8, 10)",upperarm,3
Light Gradient Boosting Machine,1.4443,3.6156,1.8978,0.3989,0.5865,0.4861,0.239,"(6, 8, 10)",upperarm,3
Random Forest Regressor,1.4597,3.634,1.9041,0.3966,0.5936,0.4611,0.366,"(6, 8, 10)",upperarm,3
Gradient Boosting Regressor,1.5735,4.0748,2.016,0.3244,0.6228,0.501,0.283,"(6, 8, 10)",upperarm,3
Decision Tree Regressor,1.833,6.7717,2.6006,-0.1213,0.7841,0.6481,0.209,"(6, 8, 10)",upperarm,3
Linear Regression,1.8554,5.1209,2.2617,0.1523,0.6966,0.6365,0.197,"(6, 8, 10)",upperarm,3
Bayesian Ridge,1.8932,5.2102,2.2813,0.1377,0.7033,0.6494,0.22,"(6, 8, 10)",upperarm,3
Huber Regressor,1.898,5.4142,2.3251,0.1042,0.6953,0.6358,0.217,"(6, 8, 10)",upperarm,3
Ridge Regression,1.906,5.2503,2.29,0.1311,0.7053,0.6581,0.2,"(6, 8, 10)",upperarm,3
AdaBoost Regressor,1.9613,5.2457,2.2887,0.1324,0.7391,0.742,0.219,"(6, 8, 10)",upperarm,3
K Neighbors Regressor,1.9654,5.9359,2.4348,0.0153,0.7308,0.6799,0.213,"(6, 8, 10)",upperarm,3
Elastic Net,2.0712,5.9819,2.4443,0.0109,0.7446,0.7371,0.202,"(6, 8, 10)",upperarm,3
Orthogonal Matching Pursuit,2.0713,5.9795,2.4438,0.0112,0.7439,0.738,0.199,"(6, 8, 10)",upperarm,3
Lasso Regression,2.0719,5.9895,2.4458,0.0097,0.7454,0.7367,0.204,"(6, 8, 10)",upperarm,3
Lasso Least Angle Regression,2.0719,5.9895,2.4458,0.0097,0.7454,0.7367,0.219,"(6, 8, 10)",upperarm,3
Dummy Regressor,2.0863,6.0693,2.462,-0.0034,0.7507,0.7404,0.226,"(6, 8, 10)",upperarm,3
Passive Aggressive Regressor,2.9996,15.2998,3.7057,-1.5704,0.9008,1.0593,0.217,"(6, 8, 10)",upperarm,3
Least Angle Regression,6.1636,76.8984,7.9383,-11.9751,1.1523,2.7484,0.209,"(6, 8, 10)",upperarm,3
Extra Trees Regressor,1.4201,3.5186,1.871,0.4013,0.5899,0.4772,0.251,"(6, 8, 12)",upperarm,3
Light Gradient Boosting Machine,1.4557,3.8108,1.9479,0.3492,0.6038,0.5083,0.227,"(6, 8, 12)",upperarm,3
Random Forest Regressor,1.4641,3.7078,1.9209,0.3686,0.605,0.4896,0.381,"(6, 8, 12)",upperarm,3
Gradient Boosting Regressor,1.5761,4.158,2.0351,0.2901,0.636,0.5212,0.286,"(6, 8, 12)",upperarm,3
Decision Tree Regressor,1.7934,6.6937,2.5808,-0.146,0.7898,0.6758,0.213,"(6, 8, 12)",upperarm,3
Linear Regression,1.8494,5.2048,2.2761,0.1144,0.707,0.6456,0.189,"(6, 8, 12)",upperarm,3
Huber Regressor,1.8672,5.5246,2.3444,0.0613,0.6965,0.6087,0.209,"(6, 8, 12)",upperarm,3
Bayesian Ridge,1.8899,5.3405,2.3058,0.0916,0.7136,0.6548,0.196,"(6, 8, 12)",upperarm,3
Ridge Regression,1.8903,5.3407,2.3058,0.0916,0.7132,0.6557,0.216,"(6, 8, 12)",upperarm,3
K Neighbors Regressor,1.948,6.0558,2.4556,-0.034,0.7421,0.6957,0.203,"(6, 8, 12)",upperarm,3
AdaBoost Regressor,1.9543,5.3269,2.3047,0.0915,0.7566,0.7555,0.221,"(6, 8, 12)",upperarm,3
Orthogonal Matching Pursuit,2.0016,5.8623,2.4169,0.002,0.7433,0.7108,0.184,"(6, 8, 12)",upperarm,3
Elastic Net,2.0052,5.8655,2.4178,0.0012,0.7443,0.7116,0.206,"(6, 8, 12)",upperarm,3
Lasso Regression,2.0106,5.8741,2.4197,-0.0005,0.7455,0.7133,0.211,"(6, 8, 12)",upperarm,3
Lasso Least Angle Regression,2.0106,5.8741,2.4197,-0.0005,0.7455,0.7133,0.198,"(6, 8, 12)",upperarm,3
Dummy Regressor,2.0276,5.915,2.4283,-0.0079,0.7491,0.7194,0.222,"(6, 8, 12)",upperarm,3
Passive Aggressive Regressor,2.4086,9.4015,2.9683,-0.5492,0.8428,0.9825,0.236,"(6, 8, 12)",upperarm,3
Least Angle Regression,17.126,1829.4732,22.9967,-295.1492,1.5368,7.1345,0.236,"(6, 8, 12)",upperarm,3
Extra Trees Regressor,1.2865,2.8671,1.6877,0.4694,0.5512,0.4557,0.281,"(6, 8, 13)",upperarm,3
Light Gradient Boosting Machine,1.3428,3.1316,1.7663,0.4188,0.5643,0.4918,0.247,"(6, 8, 13)",upperarm,3
Random Forest Regressor,1.3456,3.1645,1.774,0.4145,0.5706,0.4681,0.38,"(6, 8, 13)",upperarm,3
Gradient Boosting Regressor,1.4841,3.6603,1.9084,0.322,0.6103,0.5166,0.305,"(6, 8, 13)",upperarm,3
Decision Tree Regressor,1.7622,6.4106,2.5237,-0.1937,0.772,0.6685,0.209,"(6, 8, 13)",upperarm,3
Linear Regression,1.8079,4.918,2.2153,0.0867,0.6929,0.6578,0.218,"(6, 8, 13)",upperarm,3
Huber Regressor,1.8169,5.1718,2.2715,0.0405,0.6834,0.6133,0.216,"(6, 8, 13)",upperarm,3
K Neighbors Regressor,1.8516,5.4255,2.3268,-0.0097,0.7113,0.6796,0.218,"(6, 8, 13)",upperarm,3
Ridge Regression,1.8525,5.049,2.2449,0.0622,0.702,0.6709,0.209,"(6, 8, 13)",upperarm,3
Bayesian Ridge,1.8541,5.0576,2.2468,0.0606,0.7024,0.6717,0.214,"(6, 8, 13)",upperarm,3
AdaBoost Regressor,1.9227,5.0458,2.2435,0.0613,0.7499,0.7967,0.23,"(6, 8, 13)",upperarm,3
Orthogonal Matching Pursuit,1.9368,5.408,2.3233,-0.0038,0.7239,0.7128,0.216,"(6, 8, 13)",upperarm,3
Elastic Net,1.9408,5.4105,2.3237,-0.004,0.7247,0.7136,0.199,"(6, 8, 13)",upperarm,3
Lasso Regression,1.9447,5.4181,2.3252,-0.0051,0.7257,0.7145,0.239,"(6, 8, 13)",upperarm,3
Lasso Least Angle Regression,1.9447,5.4181,2.3252,-0.0051,0.7257,0.7145,0.209,"(6, 8, 13)",upperarm,3
Dummy Regressor,1.9489,5.4286,2.3272,-0.0067,0.727,0.7153,0.227,"(6, 8, 13)",upperarm,3
Passive Aggressive Regressor,4.1594,24.7613,4.7853,-3.6803,1.1477,2.1429,0.212,"(6, 8, 13)",upperarm,3
Least Angle Regression,4.928,50.2043,6.4588,-8.3088,1.0752,2.2476,0.203,"(6, 8, 13)",upperarm,3
Extra Trees Regressor,1.2641,2.9434,1.7131,0.4807,0.5393,0.4146,0.28,"(6, 8, 15)",upperarm,3
Random Forest Regressor,1.2992,3.047,1.7433,0.4623,0.5518,0.4221,0.368,"(6, 8, 15)",upperarm,3
Light Gradient Boosting Machine,1.3333,3.211,1.7878,0.4339,0.5611,0.4527,0.238,"(6, 8, 15)",upperarm,3
Gradient Boosting Regressor,1.4304,3.5611,1.8838,0.3733,0.5905,0.4684,0.306,"(6, 8, 15)",upperarm,3
Decision Tree Regressor,1.6495,6.0772,2.4624,-0.0757,0.7498,0.6046,0.22,"(6, 8, 15)",upperarm,3
Linear Regression,1.8207,5.0136,2.2364,0.1177,0.6891,0.6426,0.221,"(6, 8, 15)",upperarm,3
Huber Regressor,1.851,5.2671,2.291,0.0758,0.6834,0.6167,0.22,"(6, 8, 15)",upperarm,3
AdaBoost Regressor,1.866,4.9344,2.22,0.129,0.7252,0.7253,0.203,"(6, 8, 15)",upperarm,3
Ridge Regression,1.874,5.1757,2.272,0.0904,0.6998,0.6624,0.219,"(6, 8, 15)",upperarm,3
Bayesian Ridge,1.8753,5.1813,2.2733,0.0895,0.7,0.6631,0.197,"(6, 8, 15)",upperarm,3
K Neighbors Regressor,1.8814,5.5342,2.3519,0.0227,0.7168,0.6787,0.206,"(6, 8, 15)",upperarm,3
Orthogonal Matching Pursuit,1.9937,5.7244,2.3902,-0.0061,0.7327,0.7123,0.232,"(6, 8, 15)",upperarm,3
Elastic Net,1.9967,5.7284,2.3911,-0.0068,0.7335,0.7137,0.199,"(6, 8, 15)",upperarm,3
Lasso Regression,2.0008,5.7397,2.3935,-0.0089,0.7345,0.7156,0.231,"(6, 8, 15)",upperarm,3
Lasso Least Angle Regression,2.0008,5.7397,2.3935,-0.0089,0.7345,0.7156,0.209,"(6, 8, 15)",upperarm,3
Dummy Regressor,2.0015,5.7417,2.3939,-0.0092,0.7347,0.7161,0.219,"(6, 8, 15)",upperarm,3
Passive Aggressive Regressor,2.8792,12.1904,3.4325,-1.1566,0.9516,1.2799,0.215,"(6, 8, 15)",upperarm,3
Least Angle Regression,8.8331,169.6383,11.5694,-28.2566,1.3515,4.0242,0.219,"(6, 8, 15)",upperarm,3
Extra Trees Regressor,1.3135,2.9726,1.7211,0.4609,0.5591,0.4371,0.245,"(6, 8, 16)",upperarm,3
Random Forest Regressor,1.3725,3.1884,1.7838,0.4207,0.575,0.4576,0.386,"(6, 8, 16)",upperarm,3
Light Gradient Boosting Machine,1.3832,3.2381,1.7978,0.4123,0.5762,0.488,0.234,"(6, 8, 16)",upperarm,3
Gradient Boosting Regressor,1.4841,3.6018,1.8964,0.3452,0.607,0.4952,0.31,"(6, 8, 16)",upperarm,3
Decision Tree Regressor,1.7485,6.3433,2.5131,-0.1516,0.777,0.6382,0.202,"(6, 8, 16)",upperarm,3
Linear Regression,1.7728,4.7673,2.1816,0.135,0.6847,0.6194,0.201,"(6, 8, 16)",upperarm,3
Huber Regressor,1.8142,5.0739,2.2509,0.0795,0.6824,0.6046,0.216,"(6, 8, 16)",upperarm,3
Bayesian Ridge,1.8283,4.9346,2.2195,0.1049,0.6945,0.6377,0.215,"(6, 8, 16)",upperarm,3
Ridge Regression,1.8312,4.9461,2.2221,0.1029,0.6953,0.6402,0.218,"(6, 8, 16)",upperarm,3
K Neighbors Regressor,1.8875,5.5642,2.3566,-0.01,0.7253,0.6717,0.207,"(6, 8, 16)",upperarm,3
AdaBoost Regressor,1.9105,5.0263,2.2408,0.0862,0.7418,0.7503,0.22,"(6, 8, 16)",upperarm,3
Orthogonal Matching Pursuit,1.9499,5.4822,2.3396,0.0063,0.728,0.6983,0.204,"(6, 8, 16)",upperarm,3
Elastic Net,1.9528,5.4849,2.3401,0.0059,0.729,0.6986,0.217,"(6, 8, 16)",upperarm,3
Lasso Regression,1.958,5.4929,2.3418,0.0045,0.7302,0.7,0.218,"(6, 8, 16)",upperarm,3
Lasso Least Angle Regression,1.958,5.4929,2.3418,0.0045,0.7302,0.7,0.22,"(6, 8, 16)",upperarm,3
Dummy Regressor,1.973,5.5331,2.3504,-0.0028,0.7339,0.7045,0.216,"(6, 8, 16)",upperarm,3
Passive Aggressive Regressor,2.2548,8.7327,2.9052,-0.5926,0.7858,0.7616,0.212,"(6, 8, 16)",upperarm,3
Least Angle Regression,3.8391,34.1907,5.3259,-5.3968,0.959,1.7043,0.209,"(6, 8, 16)",upperarm,3
Extra Trees Regressor,1.3982,3.3838,1.8372,0.4271,0.578,0.4456,0.277,"(6, 8, 17)",upperarm,3
Light Gradient Boosting Machine,1.4577,3.6986,1.9196,0.3742,0.5954,0.4804,0.239,"(6, 8, 17)",upperarm,3
Random Forest Regressor,1.4651,3.6556,1.9094,0.3812,0.595,0.469,0.371,"(6, 8, 17)",upperarm,3
Gradient Boosting Regressor,1.6032,4.1666,2.0387,0.2948,0.6346,0.5126,0.306,"(6, 8, 17)",upperarm,3
Decision Tree Regressor,1.8523,7.2777,2.6935,-0.2332,0.7951,0.6679,0.229,"(6, 8, 17)",upperarm,3
Linear Regression,1.8592,5.2744,2.2937,0.1073,0.7045,0.6188,0.216,"(6, 8, 17)",upperarm,3
Bayesian Ridge,1.896,5.3905,2.3193,0.0869,0.7121,0.628,0.243,"(6, 8, 17)",upperarm,3
Huber Regressor,1.9204,5.6491,2.3733,0.0443,0.7046,0.6164,0.217,"(6, 8, 17)",upperarm,3
Ridge Regression,1.9297,5.4703,2.3366,0.0732,0.717,0.6525,0.203,"(6, 8, 17)",upperarm,3
K Neighbors Regressor,1.9843,6.145,2.4751,-0.0414,0.7422,0.6968,0.234,"(6, 8, 17)",upperarm,3
AdaBoost Regressor,1.9943,5.5197,2.348,0.0626,0.7497,0.7503,0.208,"(6, 8, 17)",upperarm,3
Elastic Net,2.0455,5.9581,2.4388,-0.0088,0.745,0.7239,0.218,"(6, 8, 17)",upperarm,3
Orthogonal Matching Pursuit,2.0458,5.9554,2.4382,-0.0084,0.7443,0.7253,0.21,"(6, 8, 17)",upperarm,3
Lasso Regression,2.0471,5.9663,2.4404,-0.0101,0.746,0.7235,0.208,"(6, 8, 17)",upperarm,3
Lasso Least Angle Regression,2.0471,5.9663,2.4404,-0.0101,0.746,0.7235,0.207,"(6, 8, 17)",upperarm,3
Dummy Regressor,2.057,6.0046,2.4482,-0.0165,0.7489,0.7253,0.219,"(6, 8, 17)",upperarm,3
Least Angle Regression,2.2626,8.6586,2.8247,-0.469,0.7792,0.857,0.206,"(6, 8, 17)",upperarm,3
Passive Aggressive Regressor,2.9751,13.8773,3.5715,-1.3455,0.9019,1.1875,0.228,"(6, 8, 17)",upperarm,3
Extra Trees Regressor,1.3601,3.3005,1.8136,0.4267,0.5653,0.4464,0.272,"(6, 9, 10)",upperarm,3
Random Forest Regressor,1.3983,3.471,1.8602,0.3959,0.5801,0.4511,0.342,"(6, 9, 10)",upperarm,3
Light Gradient Boosting Machine,1.4101,3.6062,1.8973,0.3714,0.5785,0.4828,0.232,"(6, 9, 10)",upperarm,3
Gradient Boosting Regressor,1.5229,3.9189,1.977,0.3158,0.6111,0.5033,0.329,"(6, 9, 10)",upperarm,3
Decision Tree Regressor,1.7472,6.6164,2.5594,-0.1584,0.7641,0.6471,0.198,"(6, 9, 10)",upperarm,3
Linear Regression,1.8204,4.9591,2.2253,0.1367,0.6914,0.6418,0.205,"(6, 9, 10)",upperarm,3
Bayesian Ridge,1.8593,5.1099,2.2586,0.112,0.7008,0.6556,0.218,"(6, 9, 10)",upperarm,3
Huber Regressor,1.8778,5.4182,2.3252,0.0597,0.6975,0.642,0.217,"(6, 9, 10)",upperarm,3
Ridge Regression,1.9072,5.2541,2.2902,0.0876,0.7092,0.691,0.208,"(6, 9, 10)",upperarm,3
K Neighbors Regressor,1.9138,5.8426,2.4144,-0.0132,0.7223,0.6991,0.209,"(6, 9, 10)",upperarm,3
AdaBoost Regressor,1.9189,5.0676,2.2483,0.119,0.7293,0.7654,0.21,"(6, 9, 10)",upperarm,3
Orthogonal Matching Pursuit,2.0459,5.8214,2.4087,-0.0053,0.7411,0.776,0.207,"(6, 9, 10)",upperarm,3
Elastic Net,2.05,5.8242,2.4093,-0.0057,0.7418,0.7761,0.214,"(6, 9, 10)",upperarm,3
Lasso Regression,2.0548,5.8324,2.411,-0.0072,0.7428,0.7766,0.22,"(6, 9, 10)",upperarm,3
Lasso Least Angle Regression,2.0548,5.8324,2.411,-0.0072,0.7428,0.7766,0.217,"(6, 9, 10)",upperarm,3
Dummy Regressor,2.0609,5.8487,2.4143,-0.0099,0.7442,0.7772,0.215,"(6, 9, 10)",upperarm,3
Passive Aggressive Regressor,2.3948,9.6894,3.0573,-0.6881,0.8234,0.8665,0.207,"(6, 9, 10)",upperarm,3
Least Angle Regression,62.6578,78017.9758,91.6762,-11158.0,1.2406,36.8544,0.211,"(6, 9, 10)",upperarm,3
Extra Trees Regressor,1.32,3.1905,1.7825,0.4232,0.5613,0.4565,0.26,"(6, 9, 12)",upperarm,3
Light Gradient Boosting Machine,1.3684,3.4658,1.8556,0.374,0.5758,0.4897,0.248,"(6, 9, 12)",upperarm,3
Random Forest Regressor,1.3697,3.4139,1.8418,0.3837,0.5795,0.4651,0.361,"(6, 9, 12)",upperarm,3
Gradient Boosting Regressor,1.5073,3.9922,1.9931,0.2783,0.6156,0.5201,0.321,"(6, 9, 12)",upperarm,3
Decision Tree Regressor,1.7182,6.3939,2.5157,-0.1526,0.7624,0.6625,0.2,"(6, 9, 12)",upperarm,3
Linear Regression,1.7423,4.8397,2.1962,0.1237,0.6786,0.6415,0.216,"(6, 9, 12)",upperarm,3
Huber Regressor,1.7444,5.283,2.2955,0.0431,0.6722,0.5957,0.238,"(6, 9, 12)",upperarm,3
Bayesian Ridge,1.7731,4.9293,2.2169,0.1069,0.6848,0.6571,0.219,"(6, 9, 12)",upperarm,3
K Neighbors Regressor,1.7802,5.3844,2.3156,0.0225,0.7035,0.6673,0.223,"(6, 9, 12)",upperarm,3
